timestamp,ambient_temp,production_schedule,machine_1_power,machine_2_power,hvac_power,total_power
2024-01-01 00:00:00,20.0,0.0,0.0,0.0,0.0,2.0
2024-01-01 01:00:00,20.12,0.0,0.0,0.0,0.0,2.0
2024-01-01 02:00:00,19.95,0.0,0.0,0.0,0.0,2.0
2024-01-01 03:00:00,20.29,0.0,0.0,0.0,0.0,2.0
2024-01-01 04:00:00,19.96,0.0,0.0,0.0,0.0,2.0
2024-01-01 05:00:00,20.64,0.0,0.0,0.0,0.0,2.0
2024-01-01 06:00:00,20.93,0.0,0.0,0.0,0.0,2.0
2024-01-01 07:00:00,20.93,0.0,0.0,0.0,0.0,2.0
2024-01-01 08:00:00,20.78,1.0,10.04,8.03,0.0,20.07
2024-01-01 09:00:00,20.72,1.0,9.82,7.87,0.0,19.68
2024-01-01 10:00:00,22.55,1.0,10.13,8.87,5.9,26.9
2024-01-01 11:00:00,21.25,1.0,10.2,8.56,0.0,20.75
2024-01-01 12:00:00,20.41,1.0,10.16,8.18,0.0,20.34
2024-01-01 13:00:00,20.31,1.0,10.96,7.3,0.0,20.26
2024-01-01 14:00:00,22.36,1.0,9.19,8.55,6.21,25.94
2024-01-01 15:00:00,22.05,1.0,9.71,8.07,6.3,26.08
2024-01-01 16:00:00,20.82,0.0,0.0,0.0,0.0,2.0
2024-01-01 17:00:00,20.64,0.0,0.0,0.0,0.0,2.0
2024-01-01 18:00:00,21.93,0.0,0.0,0.0,0.0,2.0
2024-01-01 19:00:00,21.06,0.0,0.0,0.0,0.0,2.0
2024-01-01 20:00:00,21.38,0.0,0.0,0.0,0.0,2.0
2024-01-01 21:00:00,21.69,0.0,0.0,0.0,0.0,2.0
2024-01-01 22:00:00,22.33,0.0,0.0,0.0,6.2,8.2
2024-01-01 23:00:00,21.85,0.0,0.0,0.0,0.0,2.0
2024-01-02 00:00:00,21.85,0.0,0.0,0.0,0.0,2.0
2024-01-02 01:00:00,21.53,0.0,0.0,0.0,0.0,2.0
2024-01-02 02:00:00,22.0,0.0,0.0,0.0,0.0,2.0
2024-01-02 03:00:00,21.84,0.0,0.0,0.0,0.0,2.0
2024-01-02 04:00:00,22.11,0.0,0.0,0.0,5.9,7.9
2024-01-02 05:00:00,22.11,0.0,0.0,0.0,6.23,8.23
2024-01-02 06:00:00,23.24,0.0,0.0,0.0,6.63,8.63
2024-01-02 07:00:00,22.51,0.0,0.0,0.0,6.28,8.28
2024-01-02 08:00:00,22.93,1.0,9.59,7.64,6.63,25.86
2024-01-02 09:00:00,23.15,1.0,10.07,7.7,6.39,26.16
2024-01-02 10:00:00,23.28,1.0,9.17,7.67,6.64,25.49
2024-01-02 11:00:00,22.73,1.0,10.14,8.36,6.17,26.67
2024-01-02 12:00:00,23.41,1.0,10.15,8.25,6.37,26.78
2024-01-02 13:00:00,23.76,1.0,9.91,7.91,7.04,26.86
2024-01-02 14:00:00,23.77,1.0,10.04,8.03,6.71,26.78
2024-01-02 15:00:00,22.89,1.0,10.99,7.98,6.7,27.67
2024-01-02 16:00:00,22.64,0.0,0.0,0.0,6.34,8.34
2024-01-02 17:00:00,23.17,0.0,0.0,0.0,6.7,8.7
2024-01-02 18:00:00,22.89,0.0,0.0,0.0,6.84,8.84
2024-01-02 19:00:00,23.02,0.0,0.0,0.0,6.5,8.5
2024-01-02 20:00:00,24.01,0.0,0.0,0.0,7.1,9.1
2024-01-02 21:00:00,23.6,0.0,0.0,0.0,6.51,8.51
2024-01-02 22:00:00,23.93,0.0,0.0,0.0,7.0,9.0
2024-01-02 23:00:00,22.4,0.0,0.0,0.0,6.01,8.01
2024-01-03 00:00:00,22.81,0.0,0.0,0.0,6.23,8.23
2024-01-03 01:00:00,23.98,0.0,0.0,0.0,7.0,9.0
2024-01-03 02:00:00,24.42,0.0,0.0,0.0,7.74,9.74
2024-01-03 03:00:00,23.53,0.0,0.0,0.0,6.87,8.87
2024-01-03 04:00:00,23.29,0.0,0.0,0.0,6.74,8.74
2024-01-03 05:00:00,24.3,0.0,0.0,0.0,7.19,9.19
2024-01-03 06:00:00,23.22,0.0,0.0,0.0,6.79,8.79
2024-01-03 07:00:00,24.71,0.0,0.0,0.0,7.73,9.73
2024-01-03 08:00:00,24.55,1.0,10.85,7.59,7.05,27.49
2024-01-03 09:00:00,24.71,1.0,10.94,7.63,6.82,27.4
2024-01-03 10:00:00,24.33,1.0,10.15,8.61,6.37,27.14
2024-01-03 11:00:00,24.7,1.0,9.28,7.66,7.3,26.24
2024-01-03 12:00:00,24.51,1.0,10.81,8.1,6.83,27.75
2024-01-03 13:00:00,24.48,1.0,10.89,7.63,7.42,27.94
2024-01-03 14:00:00,24.7,1.0,10.2,7.75,7.82,27.76
2024-01-03 15:00:00,24.82,1.0,9.59,8.07,7.12,26.77
2024-01-03 16:00:00,24.28,0.0,0.0,0.0,7.24,9.24
2024-01-03 17:00:00,24.68,0.0,0.0,0.0,7.32,9.32
2024-01-03 18:00:00,24.26,0.0,0.0,0.0,6.95,8.95
2024-01-03 19:00:00,24.54,0.0,0.0,0.0,7.5,9.5
2024-01-03 20:00:00,24.93,0.0,0.0,0.0,7.73,9.73
2024-01-03 21:00:00,25.41,0.0,0.0,0.0,7.76,9.76
2024-01-03 22:00:00,24.66,0.0,0.0,0.0,7.73,9.73
2024-01-03 23:00:00,25.27,0.0,0.0,0.0,7.87,9.87
2024-01-04 00:00:00,24.91,0.0,0.0,0.0,7.17,9.17
2024-01-04 01:00:00,24.51,0.0,0.0,0.0,7.08,9.08
2024-01-04 02:00:00,24.03,0.0,0.0,0.0,6.61,8.61
2024-01-04 03:00:00,25.07,0.0,0.0,0.0,7.52,9.52
2024-01-04 04:00:00,25.53,0.0,0.0,0.0,8.04,10.04
2024-01-04 05:00:00,25.11,0.0,0.0,0.0,7.95,9.95
2024-01-04 06:00:00,24.88,0.0,0.0,0.0,7.34,9.34
2024-01-04 07:00:00,25.53,0.0,0.0,0.0,7.88,9.88
2024-01-04 08:00:00,25.74,1.0,11.07,8.66,7.34,29.07
2024-01-04 09:00:00,25.56,1.0,10.13,8.77,8.12,29.01
2024-01-04 10:00:00,25.33,1.0,9.96,8.3,7.75,28.0
2024-01-04 11:00:00,25.01,1.0,9.99,7.74,7.53,27.26
2024-01-04 12:00:00,25.44,1.0,10.51,7.43,7.01,26.95
2024-01-04 13:00:00,25.2,1.0,9.87,7.73,7.5,27.1
2024-01-04 14:00:00,24.06,1.0,9.18,8.57,6.69,26.43
2024-01-04 15:00:00,25.11,1.0,9.71,7.75,7.57,27.03
2024-01-04 16:00:00,25.07,0.0,0.0,0.0,7.78,9.78
2024-01-04 17:00:00,24.87,0.0,0.0,0.0,7.72,9.72
2024-01-04 18:00:00,24.95,0.0,0.0,0.0,7.18,9.18
2024-01-04 19:00:00,25.68,0.0,0.0,0.0,8.33,10.33
2024-01-04 20:00:00,25.94,0.0,0.0,0.0,8.34,10.34
2024-01-04 21:00:00,25.63,0.0,0.0,0.0,7.53,9.53
2024-01-04 22:00:00,24.58,0.0,0.0,0.0,7.37,9.37
2024-01-04 23:00:00,24.79,0.0,0.0,0.0,7.58,9.58
2024-01-05 00:00:00,25.21,0.0,0.0,0.0,7.44,9.44
2024-01-05 01:00:00,25.28,0.0,0.0,0.0,7.34,9.34
2024-01-05 02:00:00,24.72,0.0,0.0,0.0,7.35,9.35
2024-01-05 03:00:00,24.43,0.0,0.0,0.0,7.02,9.02
2024-01-05 04:00:00,24.79,0.0,0.0,0.0,7.29,9.29
2024-01-05 05:00:00,25.37,0.0,0.0,0.0,7.74,9.74
2024-01-05 06:00:00,25.38,0.0,0.0,0.0,8.09,10.09
2024-01-05 07:00:00,25.7,0.0,0.0,0.0,8.23,10.23
2024-01-05 08:00:00,24.08,1.0,10.24,8.75,7.08,28.07
2024-01-05 09:00:00,24.95,1.0,9.14,8.54,8.17,27.85
2024-01-05 10:00:00,24.87,1.0,10.6,7.1,7.79,27.48
2024-01-05 11:00:00,25.42,1.0,9.15,7.62,7.8,26.57
2024-01-05 12:00:00,25.05,1.0,9.88,8.65,7.47,28.0
2024-01-05 13:00:00,24.17,1.0,9.2,7.99,7.0,26.18
2024-01-05 14:00:00,25.23,1.0,10.11,7.34,7.57,27.02
2024-01-05 15:00:00,24.86,1.0,11.13,7.56,7.57,28.27
2024-01-05 16:00:00,23.75,0.0,0.0,0.0,6.83,8.83
2024-01-05 17:00:00,24.8,0.0,0.0,0.0,7.78,9.78
2024-01-05 18:00:00,24.18,0.0,0.0,0.0,7.04,9.04
2024-01-05 19:00:00,24.29,0.0,0.0,0.0,7.3,9.3
2024-01-05 20:00:00,24.34,0.0,0.0,0.0,7.29,9.29
2024-01-05 21:00:00,24.6,0.0,0.0,0.0,7.91,9.91
2024-01-05 22:00:00,25.55,0.0,0.0,0.0,7.92,9.92
2024-01-05 23:00:00,24.87,0.0,0.0,0.0,7.28,9.28
2024-01-06 00:00:00,24.09,0.0,0.0,0.0,7.03,9.03
2024-01-06 01:00:00,24.96,0.0,0.0,0.0,7.47,9.47
2024-01-06 02:00:00,24.59,0.0,0.0,0.0,7.11,9.11
2024-01-06 03:00:00,25.12,0.0,0.0,0.0,6.8,8.8
2024-01-06 04:00:00,25.06,0.0,0.0,0.0,7.3,9.3
